data,codigo_estacao,nome_estacao,cota_cm,vazao_m3s,chuva_mm,rio,uf,municipio,bacia,sub_bacia,latitude,longitude,altitude,area_drenagem_km2,ano,mes,dia,trimestre,dia_semana,periodo_hidrologico,fonte_dados,nivel_consistencia,tipo_medicao,Dia_Maxima,Dia_Minima,cota_maxima_mes_cm,cota_media_mes_cm,cota_mediadiaria_mes_cm,cota_minima_mes_cm,uf_nome,operando
2021-01-27,13572000,ESPALHA (Seringal Belo Horizonte),994.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,27,1,Wednesday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-28,13572000,ESPALHA (Seringal Belo Horizonte),1000.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,28,1,Thursday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-29,13572000,ESPALHA (Seringal Belo Horizonte),1003.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,29,1,Friday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-30,13572000,ESPALHA (Seringal Belo Horizonte),1011.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,30,1,Saturday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-31,13572000,ESPALHA (Seringal Belo Horizonte),1014.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,31,1,Sunday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-02-01,13572000,ESPALHA (Seringal Belo Horizonte),1005.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,1,1,Monday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-02,13572000,ESPALHA (Seringal Belo Horizonte),989.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,2,1,Tuesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-03,13572000,ESPALHA (Seringal Belo Horizonte),953.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,3,1,Wednesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-04,13572000,ESPALHA (Seringal Belo Horizonte),932.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,4,1,Thursday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-05,13572000,ESPALHA (Seringal Belo Horizonte),956.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,5,1,Friday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-06,13572000,ESPALHA (Seringal Belo Horizonte),997.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,6,1,Saturday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-07,13572000,ESPALHA (Seringal Belo Horizonte),1019.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,7,1,Sunday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-08,13572000,ESPALHA (Seringal Belo Horizonte),1051.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,8,1,Monday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-09,13572000,ESPALHA (Seringal Belo Horizonte),1092.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,9,1,Tuesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
2021-02-10,13572000,ESPALHA (Seringal Belo Horizonte),1105.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,2,10,1,Wednesday,cheia,convencional,1,1,11,4,1115.0,1038.0,1,928.0,ACRE,1
