uf,AnoMes,cota_media_cm,cota_max_cm,cota_min_cm,n_estacoes,n_dias,anp_preco_diesel,anp_preco_diesel_s10,anp_preco_etanol,anp_preco_gasolina,anp_preco_gasolina_aditivada,anp_preco_glp,anp_preco_gnv,anp_regional_diesel,anp_regional_diesel_s10,anp_regional_etanol,anp_regional_gasolina,anp_regional_gasolina_aditivada,anp_regional_glp,anp_regional_gnv
AM,2022-10,778.8982300884956,2159.0,198.5,4,113,6.631563311688312,6.702490319548872,3.910003766209001,5.139271746584813,5.199103206836192,113.48122670696587,3.99,6.851533146257284,6.894129427936882,4.168690773520167,4.982590670945152,5.22214296143679,116.82996202336672,3.99
AM,2022-11,801.6,1869.0,183.5,4,120,6.642546195652174,6.714957009013283,3.7335518925518927,4.9001422908232115,4.964413485243805,113.31926247911446,4.140000000000001,6.940164722397682,6.982566509586614,4.230976542976962,5.050542970807889,5.203960325405906,118.10311139889839,4.140000000000001
AM,2022-12,899.4677419354839,1952.0,221.5,4,124,6.786593073593073,6.954115605442635,3.8285028594771244,5.170622863247863,5.236059180514826,123.19981297097964,4.19,6.807809248905041,6.852269594629509,4.311574130901751,4.997070283810046,5.1630409546829865,120.42257880067409,4.19
AM,2023-01,1028.0403225806451,2200.0,299.0,4,124,6.834932596643124,7.133096369202112,3.904340208810797,5.511871063877643,5.5263856068289385,128.57030612244898,4.19,6.740677135903113,6.814928493961704,4.398142755510605,5.153704260991447,5.325261225144142,120.13989981633532,4.19
AM,2023-02,1310.5267857142858,2442.0,530.5,4,112,6.470050264550264,6.916125877273004,3.916832394527168,5.679747191697191,5.633484604105572,131.1389365079365,4.19,6.498822787194913,6.569205849078703,4.393461571873226,5.311496940142796,5.493624336283186,120.8395740568898,4.19
AM,2023-03,1533.5604838709678,2620.0,771.0,4,124,6.461656084656084,6.768715040586127,4.331692152852806,6.352667200854701,6.393228005865103,130.0363846153846,4.19,6.372120185074916,6.399591955803237,4.635525093499446,5.851294587837982,6.030203170880501,120.49055745642369,4.353750000000001
AM,2023-04,1654.025,2733.0,944.0,4,120,6.531948051948052,6.935994700152788,4.584343753351566,6.552820297349709,6.5861985930735925,132.0077314814815,4.19,6.295801767370443,6.348222949420083,4.72075703532126,5.900284915229449,6.08126572154104,120.56134008565719,4.390000000000001
AM,2023-05,1767.3790322580646,2842.0,1057.0,4,124,6.199449579831933,6.525452810892941,4.625915558950853,6.5364797435897435,6.517424475166411,132.18842698412698,4.15,5.838927478655622,5.878195554434464,4.7690888589338645,5.822915189686482,5.995931741493122,120.29832813702733,4.15
AM,2023-06,1815.2875,2860.0,1149.5,4,120,5.822495793054064,6.010476759891944,4.574107843137255,6.357356608669109,6.3893866080156405,128.5882611111111,3.94,5.416394551751003,5.450143994497113,4.65106426987902,5.727668284076236,5.883390447189714,117.13838372490603,3.94
AM,2023-07,1739.125,2831.0,1019.0,4,124,5.7883313553491575,5.922893105158731,4.681414772727273,6.535996666666666,6.597109125972205,128.45838095238096,4.49,5.370430265865164,5.390926474191413,4.799604529531013,5.98305665927424,6.122751425429042,115.76255174900434,4.49
AM,2023-08,1533.6612903225807,2696.0,722.0,4,124,6.071669696969696,6.451802682885875,4.671272186147187,6.7805720238095235,6.817668845315904,124.59489880952381,4.49,5.944851507879409,6.074199770622374,4.783516682014624,6.1986195973507,6.342633590233398,114.46732260494119,4.49
AM,2023-09,1014.5541666666667,2385.0,182.0,4,120,6.613004072681704,6.88536199553135,4.701570900537634,6.890648214285714,6.768914675245098,125.20608630952381,4.49,6.434168756097023,6.5711895831845055,4.793178839920632,6.336100070194636,6.47814690485837,114.36652596368128,4.49
AM,2023-10,524.9758064516129,1568.0,50.0,4,124,6.40612865497076,6.949506996501748,4.682495543672014,6.793004655067155,6.697611408199644,127.36674702380952,4.49,6.51677480574658,6.621889109426201,4.724265149603461,6.2670663271280205,6.417082808294796,115.762303729906,4.49
AM,2023-11,469.1041666666667,1478.0,11.0,4,120,6.474584967320261,7.0059,4.641419034090909,6.865004761904761,6.703937078295268,132.63280238095237,4.49,6.5632869605791555,6.621307060679303,4.632630806693727,6.218089401385495,6.363367583711688,117.20903185315386,4.49
AM,2023-12,690.1491935483871,1897.0,115.0,4,124,6.5466674208144795,7.006023247863249,4.637479338842976,6.799690399877901,6.649351254480286,133.20701865079366,4.49,6.444244768709533,6.4728441629777755,4.537545725108226,6.123453384066638,6.278462235564097,116.59191985898954,4.49
AM,2024-01,1024.633064516129,2144.0,241.0,4,124,6.787857711038962,6.857943228530729,4.512769460923661,6.653119446693657,6.610096022095258,132.09737333333334,4.590000000000001,6.412370078425477,6.378402530939859,4.391963323132425,5.998390169260451,6.14151443466985,116.14958459623126,4.590000000000001
AM,2024-02,1179.5905172413793,2249.0,464.0,4,116,6.744014652014652,6.766103856927386,4.487150109970674,6.702503907203908,6.622167715745302,132.29542142857144,4.1775,6.412249590259324,6.37557601964898,4.365987821529246,6.119273918290201,6.2757659136558885,116.68388972000005,4.1775
AM,2024-03,1300.6854838709678,2390.0,566.0,4,124,6.950330882352942,6.819632478632479,4.521435483870968,6.753713782051283,6.746184210526316,131.61703628691984,3.99,6.39654371293118,6.34915404620825,4.370262152443382,6.137267690204961,6.305956898638614,116.69104791108647,3.99
AM,2024-04,1457.9458333333334,2572.5,710.0,4,120,6.894808088235294,6.783998136123136,4.422796535244923,6.823687106227107,6.735294236015827,131.07349721920838,4.59,6.363968666494209,6.323741006297792,4.43806753443751,6.19236794078012,6.350332350344203,116.77536132347363,4.59
AM,2024-05,1590.2056451612902,2672.5,876.0,4,124,6.593697278911565,6.8240458384208385,4.410477364369502,6.858136883073067,6.689980198141548,131.6338738095238,4.59,6.3299859486015615,6.321740716897096,4.488248099740668,6.2208028389147065,6.37040451234087,116.89991292190084,4.59
AM,2024-06,1667.6541666666667,2715.0,986.0,4,120,6.56887093298858,6.771162433862433,4.460495856528475,6.826504767419241,6.682677670716381,130.21701253132832,4.59,6.313981780944571,6.3120841716656075,4.488431768944704,6.244768353834772,6.377012595018437,117.47333878656505,4.59
AM,2024-07,1604.3790322580646,2708.5,890.5,4,124,6.556989095638256,6.634368655154369,4.585384123093681,6.9355003315200685,6.960683735187623,121.14290140845071,4.75,6.441519542884144,6.430511258683957,4.652694326733373,6.471229878107438,6.636318403145843,120.00772364529598,4.75
AM,2024-08,1293.2137096774193,2537.0,362.5,4,124,6.666025183150183,6.736920787545787,4.783736338987764,7.145763125220362,7.169149905593958,121.96841448692155,4.99,6.489240558634817,6.466875287026475,4.79332772849577,6.579623653198653,6.782766920218776,120.31472409777254,4.99
AM,2024-09,678.2833333333333,1994.0,18.5,4,120,6.668695578231293,6.760773809523809,4.797141726403823,7.164591561320885,7.1959089464484345,122.46831589537223,4.99,6.457515265677611,6.4227171057248,4.768408351715705,6.541472028990843,6.754571975710908,120.9630432999123,4.99
AM,2024-10,391.3709677419355,1315.0,-66.0,4,124,6.7750969955969955,7.013591880341881,4.967049074488729,7.36737529634898,7.375688154386708,124.06225352112678,4.99,6.57493536637177,6.516772645736071,4.826704759198365,6.618372766502525,6.832296546654242,122.28040957654608,4.99
AM,2024-11,459.1375,1469.0,-66.0,4,120,6.850855158730159,7.000799162257496,5.03332912857225,7.316404761904763,7.33971357790428,126.28792002012074,4.99,6.549918533660599,6.538593525118612,4.86035097064394,6.672649176545632,6.8636691558763765,123.49145342827349,4.99
AM,2024-12,671.9596774193549,1856.0,139.5,4,124,6.847676068376069,7.0335928588058705,5.038495007680491,7.3220770773086565,7.341616077828982,126.68999356136821,4.99,6.672388799304218,6.606575806661903,4.919080161635807,6.723644914365953,6.916988660534296,123.69528431957274,4.99
AM,2025-01,1081.141129032258,2250.0,238.0,4,124,6.882232142857142,7.024417862230362,5.010987363003144,7.32175730994152,7.33638988233178,126.66900932400932,4.99,6.650590133071402,6.601370632621297,4.924964161667292,6.697007502374886,6.883382754134766,119.90913470940586,4.99
AM,2025-02,1282.125,2430.0,562.0,4,112,7.035361111111111,7.268467661010765,5.259707097254225,7.536165064102565,7.549218766001023,128.76599633699632,5.24,6.8830070210587735,6.833018051231025,5.090391115235887,6.857362855295131,7.034985897761595,119.87711506885239,5.24
AM,2025-03,1518.3225806451612,2630.0,729.0,4,124,7.2077793040293034,7.37000884173298,5.446179345638549,7.644381196581196,7.657366762672812,131.57219748931624,5.49,6.860038903615811,6.821643998013788,5.126541640580496,6.8289349786184586,7.0115959233513365,121.53577911342374,5.49
AM,2025-04,1686.65,2802.0,945.0,4,120,6.955621323529412,7.357338429317596,5.451783452750601,7.585851467611335,7.672993297025556,130.53404995004996,5.49,6.733979132023859,6.725599904023376,5.102830206742699,6.767935189859801,6.945026719416607,121.64522211324731,5.49
AM,2025-05,1820.274193548387,2892.0,1123.0,4,124,6.946257122507123,7.319343372676706,5.4566985254329,7.478317307692308,7.513392490172663,131.73972291597292,5.49,6.643573668802928,6.608264904672824,5.07738056255382,6.722771095014045,6.900962333961987,122.57950346319167,5.49
AM,2025-06,1881.6666666666667,2934.0,1207.0,4,120,6.760706137000255,7.243936507936509,5.452979644130379,7.478007814407815,7.509883384536611,129.35070385170386,5.49,6.56088799557306,6.521483303805039,5.078330797831329,6.7096139321574215,6.87755384077029,121.30458815773027,5.49
AM,2025-07,1878.3467741935483,2938.0,1207.0,4,124,6.7575,7.381920502171399,5.472853134215564,7.6171652421652425,7.656214493413852,124.28860722610722,5.49,6.553028559589331,6.514206061250524,5.070618805758678,6.695439880205311,6.891463578939997,123.64868300464288,5.49
AM,2025-08,1762.733870967742,2879.0,1025.0,4,124,6.499895833333333,7.3115341960539,5.490506552419355,7.574945054945055,7.610743467841682,123.84878321678322,4.890000000000001,6.530328443466202,6.468857183099171,5.039055307422705,6.636570685133185,6.849917610236576,123.18805028415673,4.890000000000001
