AnoMes,Natureza da Carga,Sentido,ToneladasMovimentadas
2021-11,Granel Líquido e Gasoso,Desembarcados,406710.312
2021-11,Granel Líquido e Gasoso,Embarcados,345639.173
2021-11,Granel Líquido e Gasoso,Não Informado,3754.109
2021-11,Granel Sólido,Desembarcados,344554.718
2021-11,Granel Sólido,Embarcados,368960.325
2021-12,Carga Conteinerizada,Desembarcados,495879.071
2021-12,Carga Conteinerizada,Embarcados,214655.336
2021-12,Carga Conteinerizada,Não Informado,22.552
2021-12,Carga Geral,Desembarcados,195033.986
2021-12,Carga Geral,Embarcados,78405.387
2021-12,Granel Líquido e Gasoso,Desembarcados,595981.125
2021-12,Granel Líquido e Gasoso,Embarcados,368108.232
2021-12,Granel Líquido e Gasoso,Não Informado,4190.906
2021-12,Granel Sólido,Desembarcados,400015.904
2021-12,Granel Sólido,Embarcados,299241.482
2022-01,Carga Conteinerizada,Desembarcados,364988.089
2022-01,Carga Conteinerizada,Embarcados,169887.965
2022-01,Carga Geral,Desembarcados,166243.844
2022-01,Carga Geral,Embarcados,57935.532
2022-01,Granel Líquido e Gasoso,Desembarcados,508770.813
2022-01,Granel Líquido e Gasoso,Embarcados,333146.04
2022-01,Granel Líquido e Gasoso,Não Informado,4566.983
2022-01,Granel Sólido,Desembarcados,491173.044
2022-01,Granel Sólido,Embarcados,473793.581
2022-02,Carga Conteinerizada,Desembarcados,417212.391
2022-02,Carga Conteinerizada,Embarcados,185160.165
2022-02,Carga Geral,Desembarcados,119798.494
2022-02,Carga Geral,Embarcados,65808.124
2022-02,Granel Líquido e Gasoso,Desembarcados,498517.751
2022-02,Granel Líquido e Gasoso,Embarcados,341557.046
2022-02,Granel Líquido e Gasoso,Não Informado,2459.911
2022-02,Granel Sólido,Desembarcados,455963.676
2022-02,Granel Sólido,Embarcados,577941.707
2022-03,Carga Conteinerizada,Desembarcados,381815.626
2022-03,Carga Conteinerizada,Embarcados,206460.904
2022-03,Carga Conteinerizada,Não Informado,102.28
2022-03,Carga Geral,Desembarcados,122203.126
2022-03,Carga Geral,Embarcados,74315.317
2022-03,Granel Líquido e Gasoso,Desembarcados,466460.482
2022-03,Granel Líquido e Gasoso,Embarcados,366895.451
2022-03,Granel Líquido e Gasoso,Não Informado,2075.285
2022-03,Granel Sólido,Desembarcados,536545.4
2022-03,Granel Sólido,Embarcados,488166.164
2022-04,Carga Conteinerizada,Desembarcados,404911.222
2022-04,Carga Conteinerizada,Embarcados,167020.411
2022-04,Carga Geral,Desembarcados,136710.649
2022-04,Carga Geral,Embarcados,70905.355
2022-04,Granel Líquido e Gasoso,Desembarcados,450192.55
2022-04,Granel Líquido e Gasoso,Embarcados,341778.483
2022-04,Granel Líquido e Gasoso,Não Informado,716.426
2022-04,Granel Sólido,Desembarcados,602651.551
2022-04,Granel Sólido,Embarcados,511192.218
2022-05,Carga Conteinerizada,Desembarcados,468345.507
2022-05,Carga Conteinerizada,Embarcados,232298.417
2022-05,Carga Conteinerizada,Não Informado,7.5
2022-05,Carga Geral,Desembarcados,135573.727
2022-05,Carga Geral,Embarcados,72626.502
2022-05,Granel Líquido e Gasoso,Desembarcados,541487.503
2022-05,Granel Líquido e Gasoso,Embarcados,402596.10599999997
2022-05,Granel Líquido e Gasoso,Não Informado,570.708
2022-05,Granel Sólido,Desembarcados,738905.307
2022-05,Granel Sólido,Embarcados,652847.689
2022-06,Carga Conteinerizada,Desembarcados,405917.754
2022-06,Carga Conteinerizada,Embarcados,186118.665
2022-06,Carga Geral,Desembarcados,178393.523
2022-06,Carga Geral,Embarcados,67325.223
2022-06,Granel Líquido e Gasoso,Desembarcados,470493.452
2022-06,Granel Líquido e Gasoso,Embarcados,381617.474
2022-06,Granel Líquido e Gasoso,Não Informado,2663.268
2022-06,Granel Sólido,Desembarcados,504581.921
2022-06,Granel Sólido,Embarcados,318783.927
2022-07,Carga Conteinerizada,Desembarcados,436476.67
2022-07,Carga Conteinerizada,Embarcados,207380.36000000002
2022-07,Carga Geral,Desembarcados,143470.321
2022-07,Carga Geral,Embarcados,69616.296
2022-07,Granel Líquido e Gasoso,Desembarcados,554316.862
2022-07,Granel Líquido e Gasoso,Embarcados,348241.754
2022-07,Granel Líquido e Gasoso,Não Informado,6559.388
2022-07,Granel Sólido,Desembarcados,565006.417
2022-07,Granel Sólido,Embarcados,641633.457
2022-08,Carga Conteinerizada,Desembarcados,417231.0
2022-08,Carga Conteinerizada,Embarcados,176829.293
2022-08,Carga Conteinerizada,Não Informado,26.88
2022-08,Carga Geral,Desembarcados,124986.152
2022-08,Carga Geral,Embarcados,71604.695
2022-08,Granel Líquido e Gasoso,Desembarcados,438331.752
2022-08,Granel Líquido e Gasoso,Embarcados,364215.647
2022-08,Granel Líquido e Gasoso,Não Informado,5218.948
2022-08,Granel Sólido,Desembarcados,550848.779
2022-08,Granel Sólido,Embarcados,426713.989
2022-09,Carga Conteinerizada,Desembarcados,474605.398
2022-09,Carga Conteinerizada,Embarcados,208287.989
2022-09,Carga Conteinerizada,Não Informado,2.28
2022-09,Carga Geral,Desembarcados,185412.077
2022-09,Carga Geral,Embarcados,77454.012
2022-09,Granel Líquido e Gasoso,Desembarcados,464712.121
2022-09,Granel Líquido e Gasoso,Embarcados,300285.262
2022-09,Granel Líquido e Gasoso,Não Informado,3412.545
2022-09,Granel Sólido,Desembarcados,291193.622
2022-09,Granel Sólido,Embarcados,273202.145
2022-10,Carga Conteinerizada,Desembarcados,398644.451
2022-10,Carga Conteinerizada,Embarcados,204994.31399999998
2022-10,Carga Conteinerizada,Não Informado,259.3
2022-10,Carga Geral,Desembarcados,179890.377
2022-10,Carga Geral,Embarcados,90385.718
2022-10,Granel Líquido e Gasoso,Desembarcados,442667.415
2022-10,Granel Líquido e Gasoso,Embarcados,330803.571
2022-10,Granel Líquido e Gasoso,Não Informado,4338.518
2022-10,Granel Sólido,Desembarcados,360421.704
2022-10,Granel Sólido,Embarcados,281850.26399999997
2022-11,Carga Conteinerizada,Desembarcados,442160.272
2022-11,Carga Conteinerizada,Embarcados,188531.48
2022-11,Carga Conteinerizada,Não Informado,74.565
2022-11,Carga Geral,Desembarcados,183470.141
2022-11,Carga Geral,Embarcados,89090.249
2022-11,Granel Líquido e Gasoso,Desembarcados,489113.819
2022-11,Granel Líquido e Gasoso,Embarcados,325925.613
2022-11,Granel Líquido e Gasoso,Não Informado,4524.116
2022-11,Granel Sólido,Desembarcados,319573.672
2022-11,Granel Sólido,Embarcados,369337.17600000004
2022-11,Granel Sólido,Não Informado,4.18
2022-12,Carga Conteinerizada,Desembarcados,414058.02
2022-12,Carga Conteinerizada,Embarcados,184024.801
2022-12,Carga Conteinerizada,Não Informado,238.293
2022-12,Carga Geral,Desembarcados,223158.80299999999
2022-12,Carga Geral,Embarcados,80868.947
2022-12,Granel Líquido e Gasoso,Desembarcados,529283.362
