produto,classificao_produto,id_produto,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,1,PREÇO RECEBIDO P/ PRODUTOR,5.58
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,1.2
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,5.61
RAIZ DE MANDIOCA,PARA FARINHA,11240,AP,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,0.58
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,0.85
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,0.46
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,2,PREÇO RECEBIDO P/ PRODUTOR,4.57
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,1.2
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,5.38
RAIZ DE MANDIOCA,PARA FARINHA,11240,AP,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,0.67
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,0.85
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,0.48
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,3,PREÇO RECEBIDO P/ PRODUTOR,4.26
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,1.26
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,4.36
RAIZ DE MANDIOCA,PARA FARINHA,11240,AP,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,0.7
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,0.83
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,0.48
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,4,PREÇO RECEBIDO P/ PRODUTOR,3.9
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,1.64
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,3.75
RAIZ DE MANDIOCA,PARA FARINHA,11240,AP,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,0.7
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,0.87
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,0.48
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,5,PREÇO RECEBIDO P/ PRODUTOR,3.59
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,2.04
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,3.79
RAIZ DE MANDIOCA,PARA FARINHA,11240,AP,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,0.7
RAIZ DE MANDIOCA,PARA FARINHA,11240,PA,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,0.87
RAIZ DE MANDIOCA,PARA FARINHA,11240,RO,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,0.53
RAIZ DE MANDIOCA,DE MESA,11489,RR,NORTE,2026,6,PREÇO RECEBIDO P/ PRODUTOR,3.8
RAIZ DE MANDIOCA,DE MESA,11489,AC,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,2.16
RAIZ DE MANDIOCA,PARA FARINHA,11240,AC,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,0.62
RAIZ DE MANDIOCA,DE MESA,11489,AM,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,3.55
RAIZ DE MANDIOCA,PARA FARINHA,11240,AP,NORTE,2026,7,PREÇO RECEBIDO P/ PRODUTOR,0.7
