municipio_ceasa,cod_ibge_municipio,uf_ceasa,dsc_ceasa,dsc_produto,sig_unidade_medida,data_preco,preco_diario
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/23 00:00:00.000,4.82
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/28 00:00:00.000,4.82
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/22 00:00:00.000,4.61
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/14 00:00:00.000,4.49
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/16 00:00:00.000,4.53
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/30 00:00:00.000,4.96
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/13 00:00:00.000,5.91
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/11 00:00:00.000,5.72
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/06 00:00:00.000,5.54
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/04 00:00:00.000,5.16
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/09 00:00:00.000,4.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/23 00:00:00.000,4.68
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/16 00:00:00.000,4.86
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/10 00:00:00.000,4.57
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/07 00:00:00.000,4.63
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/11 00:00:00.000,5.39
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/02 00:00:00.000,5.47
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/30 00:00:00.000,4.66
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/02 00:00:00.000,4.45
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/04/25 00:00:00.000,5.42
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/07/04 00:00:00.000,6.18
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/27 00:00:00.000,6.18
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/20 00:00:00.000,5.74
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/18 00:00:00.000,5.67
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/06/25 00:00:00.000,6.06
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/07/25 00:00:00.000,6.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/07/30 00:00:00.000,6.13
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/07/23 00:00:00.000,5.97
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/09/30 00:00:00.000,7.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/10/10 00:00:00.000,7.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/15 00:00:00.000,8.56
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/20 00:00:00.000,6.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/13 00:00:00.000,7.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/06 00:00:00.000,6.64
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/08 00:00:00.000,7.24
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/01 00:00:00.000,7.04
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/27 00:00:00.000,7.1
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/22 00:00:00.000,8.76
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/08/29 00:00:00.000,7.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/10/08 00:00:00.000,7.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/10/29 00:00:00.000,15.17
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/10/31 00:00:00.000,15.74
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/11/07 00:00:00.000,18.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/11/05 00:00:00.000,18.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/11/21 00:00:00.000,18.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/11/28 00:00:00.000,23.33
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/12/03 00:00:00.000,13.35
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/11/26 00:00:00.000,17.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/12/05 00:00:00.000,22.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/01/21 00:00:00.000,6.71
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/01/27 00:00:00.000,6.71
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/01/09 00:00:00.000,22.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/11/26 00:00:00.000,6.38
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/11/25 00:00:00.000,6.38
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/11/27 00:00:00.000,10.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/16 00:00:00.000,10.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/11 00:00:00.000,9.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/18 00:00:00.000,10.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/30 00:00:00.000,9.8
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2026/03/12 00:00:00.000,5.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2026/02/03 00:00:00.000,6.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/02 00:00:00.000,11.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/23 00:00:00.000,10.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/12/04 00:00:00.000,10.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2026/01/06 00:00:00.000,10.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/03/18 00:00:00.000,7.39
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/03/11 00:00:00.000,7.9
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/03/20 00:00:00.000,9.92
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/03/25 00:00:00.000,7.28
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/03/31 00:00:00.000,9.3
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/03/27 00:00:00.000,8.43
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/04/10 00:00:00.000,8.31
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/04/08 00:00:00.000,7.61
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/04/03 00:00:00.000,7.42
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/04/15 00:00:00.000,7.41
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2025/04/17 00:00:00.000,7.45
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/27 00:00:00.000,2.96
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/07/04 00:00:00.000,2.96
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/20 00:00:00.000,2.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/18 00:00:00.000,2.78
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/06/25 00:00:00.000,2.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/22 00:00:00.000,2.59
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/16 00:00:00.000,2.78
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/28 00:00:00.000,2.69
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/23 00:00:00.000,2.41
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACAXI,UN,2024/05/14 00:00:00.000,2.78
