produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
BORRACHA NATURAL,DRC 60%,14156,PALMEIRÓPOLIS-TO,1715754,TO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.7
BORRACHA NATURAL,DRC 60%,14156,ARAGUAÇU-TO,1702000,TO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.7
BORRACHA NATURAL,DRC 60%,14156,PALMEIRÓPOLIS-TO,1715754,TO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.7
BORRACHA NATURAL,DRC 60%,14156,ARAGUAÇU-TO,1702000,TO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,5.39
BORRACHA NATURAL,DRC 60%,14156,PALMEIRÓPOLIS-TO,1715754,TO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,5.39
BORRACHA NATURAL,DRC 60%,14156,ARAGUAÇU-TO,1702000,TO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,5.07
BORRACHA NATURAL,DRC 60%,14156,PALMEIRÓPOLIS-TO,1715754,TO,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,5.07
BOTA,SETE LÉGUAS,11612,MEDICILÂNDIA-PA,1504455,PA,NORTE,2026,3,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,SENA MADUREIRA-AC,1200500,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,XAPURI-AC,1200708,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,75.0
BOTA,SETE LÉGUAS,11612,BOCA DO ACRE-AM,1300706,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,64.0
BOTA,SETE LÉGUAS,11612,COARI-AM,1301209,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,CODAJÁS-AM,1301308,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,LÁBREA-AM,1302405,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,75.0
BOTA,SETE LÉGUAS,11612,MANICORÉ-AM,1302702,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,60.0
BOTA,COURO BRACOL,13890,BELTERRA-PA,1501451,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,COLARES-PA,1502608,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,CURRALINHO-PA,1502806,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,DE CANO LONGO,12414,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,80.0
BOTA,SETE LÉGUAS,11612,LIMOEIRO DO AJURU-PA,1504000,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTA,SETE LÉGUAS,11612,ORIXIMINÁ-PA,1505304,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,80.0
BOTA,SETE LÉGUAS,11612,ORIXIMINÁ-PA,1505304,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOTIJAO DE GAS 13 KG,NÃO INFORMADO,8021,CARAUARI-AM,1301001,AM,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,163.0
BOTINA,NÃO INFORMADO,12285,ALTAMIRA-PA,1500602,PA,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,
BOVINO / EQUINO / MUARES,NÃO INFORMADO,5899,XAPURI-AC,1200708,AC,NORTE,2026,7,PREÇO PAGO PELO PRODUTOR,0.45
BURITI,FRUTO,11117,MÂNCIO LIMA-AC,1200336,AC,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,0.91
BURITI,FRUTO,11117,EIRUNEPÉ-AM,1301407,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.44
BURITI,FRUTO,11117,PRESIDENTE FIGUEIREDO-AM,1303536,AM,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.35
BURITI,FRUTO,11117,VIGIA-PA,1508209,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.1
BURITI,FRUTO,11117,ALTO ALEGRE-RR,1400050,RR,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,1.63
BURITI,FRUTO,11117,MÂNCIO LIMA-AC,1200336,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,0.91
BURITI,FRUTO,11117,EIRUNEPÉ-AM,1301407,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,1.45
BURITI,FRUTO,11117,PRESIDENTE FIGUEIREDO-AM,1303536,AM,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,1.34
BURITI,FRUTO,11117,VIGIA-PA,1508209,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,1.1
BURITI,FRUTO,11117,ALTO ALEGRE-RR,1400050,RR,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,1.65
BURITI,FRUTO,11117,MÂNCIO LIMA-AC,1200336,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,0.91
BURITI,FRUTO,11117,PRESIDENTE FIGUEIREDO-AM,1303536,AM,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,1.54
BURITI,FRUTO,11117,VIGIA-PA,1508209,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,1.1
BURITI,FRUTO,11117,ALTO ALEGRE-RR,1400050,RR,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,1.65
