produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,2.73
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,2.73
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,2.73
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,8.6
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,7.83
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,8.5
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,7.7
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,4.29
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,4.29
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,4.29
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,4.29
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,CUJUBIM-RO,1100940,RO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,3.43
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,5.36
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,5.15
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,5.15
ABACAXI,PÉROLA,6320,VILHENA-RO,1100304,RO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,5.36
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,6.0
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,CANTÁ-RR,1400175,RR,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,MIRANORTE-TO,1713304,TO,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,2.93
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,PORTO ACRE-AC,1200807,AC,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,2.93
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,2.77
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,9.5
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,ITACOATIARA-AM,1301902,AM,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,9.0
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,3.2
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,3.3
ABACAXI,PÉROLA,6320,PORTO GRANDE-AP,1600535,AP,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CONCEIÇÃO DO ARAGUAIA-PA,1502707,PA,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,CACOAL-RO,1100049,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,4.29
